2026-02-24 19:34:46 WAT LOG:  database system was interrupted; last known up at 2026-02-24 19:29:04 WAT
2026-02-24 19:34:47 WAT LOG:  database system was not properly shut down; automatic recovery in progress
2026-02-24 19:34:47 WAT LOG:  redo starts at 0/4D87DC0
2026-02-24 19:34:47 WAT LOG:  invalid record length at 0/4D99B48: expected at least 24, got 0
2026-02-24 19:34:47 WAT LOG:  redo done at 0/4D99B10 system usage: CPU: user: 0.01 s, system: 0.00 s, elapsed: 0.01 s
2026-02-24 19:34:47 WAT LOG:  checkpoint starting: end-of-recovery immediate wait
2026-02-24 19:34:47 WAT LOG:  checkpoint complete: wrote 14 buffers (0.1%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.012 s, total=0.026 s; sync files=11, longest=0.003 s, average=0.002 s; distance=71 kB, estimate=71 kB; lsn=0/4D99B48, redo lsn=0/4D99B48
2026-02-24 19:37:57 WAT ERROR:  column "terms_accepted" of relation "users" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE users ADD COLUMN terms_accepted INTEGER DEFAULT 0
2026-02-24 19:37:57 WAT ERROR:  column "current_login_at" of relation "users" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE users ADD COLUMN current_login_at TIMESTAMP
2026-02-24 19:37:57 WAT ERROR:  column "last_login_at" of relation "users" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE users ADD COLUMN last_login_at TIMESTAMP
2026-02-24 19:37:57 WAT ERROR:  column "operations_enabled" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN operations_enabled INTEGER DEFAULT 1
2026-02-24 19:37:57 WAT ERROR:  column "teacher_operations_enabled" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN teacher_operations_enabled INTEGER DEFAULT 1
2026-02-24 19:37:57 WAT ERROR:  column "grade_a_min" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_a_min INTEGER DEFAULT 70
2026-02-24 19:37:57 WAT ERROR:  column "grade_b_min" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_b_min INTEGER DEFAULT 60
2026-02-24 19:37:57 WAT ERROR:  column "grade_c_min" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_c_min INTEGER DEFAULT 50
